keys,es,en,ko,pt_BR
Build: unknown | Platform: unknown | Date: unknown,Build: unknown | Platform: unknown | Date: unknown,Build: unknown | Platform: unknown | Date: unknown,빌드: 알 수 없음 | 플랫폼: 알 수 없음 | 날짜: 알 수 없음,Build: desconhecido | Plataforma: desconhecida | Data: desconhecida
Buscando partidas...,Buscando partidas...,Searching for games...,게임 검색 중...,Procurando partidas...
Buscar de nuevo,Buscar de nuevo,Search again,다시 검색,Procurar de novo
CAM: ,CAM: ,CAM:,카메라: ,CAM: 
CARGA: --,CARGA: --,CHARGE: --,충전: --,CARGA: --
CARGANDO EMP,CARGANDO EMP,CHARGING EMP,EMP 충전 중,CARREGANDO EMP
CARGOL,CARGOL,CARGOL,CARGOL,CARGOL
CARGOL CAÍDO,CARGOL CAÍDO,CARGOL DOWN,CARGOL 정지,CARGOL CAÍDO
CIRCUITO DE FRIO,CIRCUITO DE FRIO,COOLING CIRCUIT,냉각 회로,CIRCUITO DE FRIO
CONTINUAR,CONTINUAR,CONTINUE,이어하기,CONTINUAR
CONTROL REMOTO,CONTROL REMOTO,REMOTE CONTROL,원격 제어,CONTROLE REMOTO
"CRIO
AISLAR","CRIO
AISLAR","CRYO
ISOLATE","냉동
격리","CRIO
ISOLAR"
CRIO // C-02,CRIO // C-02,CRYO // C-02,냉동 // C-02,CRIO // C-02
CRIO // C-03,CRIO // C-03,CRYO // C-03,냉동 // C-03,CRIO // C-03
CRIOCOOLANT: --,CRIOCOOLANT: --,CRIOCOOLANT: --,냉각제: --,CRIOCOOLANT: --
Calentando... %.1fs,Calentando... %.1fs,Heating... %.1fs,가열 중... %.1fs,Aquecendo... %.1fs
Canal: release | Tipo: delta | Tamaño: 0 MB,Canal: release | Tipo: delta | Tamaño: 0 MB,Channel: release | Type: delta | Size: 0 MB,채널: release | 종류: delta | 크기: 0 MB,Canal: release | Tipo: delta | Tamanho: 0 MB
Cancelar,Cancelar,Cancel,취소,Cancelar
"Capturado: %s | Duración: %.1fs
Build: %s | Plataforma: %s | Tripulante: %s","Capturado: %s | Duración: %.1fs
Build: %s | Plataforma: %s | Tripulante: %s","Captured: %s | Duration: %.1fs
Build: %s | Platform: %s | Crew member: %s","캡처: %s | 길이: %.1fs
빌드: %s | 플랫폼: %s | 승무원: %s","Capturado: %s | Duração: %.1fs
Build: %s | Plataforma: %s | Tripulante: %s"
Cargando...,Cargando...,Loading...,불러오는 중...,Carregando...
Cerrar,Cerrar,Close,닫기,Fechar
Cerrar el overlay de log (tambien apaga la opcion),Cerrar el overlay de log (tambien apaga la opcion),Close log overlay (also disables option),로그 오버레이 닫기 (해당 옵션도 꺼집니다),Fechar a sobreposição de log (também desliga a opção)
Colapsar/expandir controles,Colapsar/expandir controles,Collapse/expand controls,컨트롤 접기/펼치기,Recolher/expandir controles
Color,Color,Color,색상,Cor
Compartir telemetría anónima,Compartir telemetría anónima,Share anonymous telemetry,익명 사용 정보 공유,Compartilhar telemetria anônima
Conectando con %s...,Conectando con %s...,Connecting to %s...,%s에 연결 중...,Conectando com %s...
Conectar,Conectar,Connect,연결,Conectar
Conexión cancelada. Elija una partida o pulse Buscar de nuevo.,Conexión cancelada. Elija una partida o pulse Buscar de nuevo.,Connection cancelled. Select a game or press Search again.,연결이 취소되었습니다. 게임을 선택하거나 다시 검색을 누르십시오.,Conexão cancelada. Escolha uma partida ou toque em Procurar de novo.
Confirme la conexión con %s.,Confirme la conexión con %s.,Confirm connection with %s.,%s와의 연결을 확인하십시오.,Confirme a conexão com %s.
Console not found,Console not found,Console not found,Console not found,Console not found
Control remoto,Control remoto,Remote control,원격 제어,Controle remoto
Control remoto: hay una partida en la red,Control remoto: hay una partida en la red,Remote control: a game is available on the network,원격 제어: 네트워크에 게임이 있습니다,Controle remoto: há uma partida na rede
Control remoto: no se detectan partidas en la red,Control remoto: no se detectan partidas en la red,Remote control: no games detected on the network,원격 제어: 네트워크에서 게임을 찾지 못했습니다,Controle remoto: nenhuma partida detectada na rede
Criocápsulas,Criocápsulas,Cryopods,냉동 캡슐,Criocápsulas
Cuerpo de texto...,Cuerpo de texto...,Body text...,본문 텍스트...,Corpo do texto...
DIRT,DIRT,DIRT,흙,TERRA
DISPARANDO EMP,DISPARANDO EMP,FIRING EMP,EMP 발사 중,DISPARANDO EMP
Dejar de enfocar cámara del piloto,Dejar de enfocar cámara del piloto,Unfocus pilot camera,파일럿 카메라 초점 해제,Parar de focar a câmera do piloto
Descargando captura...,Descargando captura...,Downloading recording...,녹화 내려받는 중...,Baixando a gravação...
Domo,Domo,Dome,돔,Domo
EL ARCA SILENCIOSA,EL ARCA SILENCIOSA,EL ARCA SILENCIOSA,EL ARCA SILENCIOSA,EL ARCA SILENCIOSA
EMP ACTIVADO,EMP ACTIVADO,EMP ACTIVATED,EMP 작동,EMP ATIVADO
EMP LISTO,EMP LISTO,EMP READY,EMP 준비,EMP PRONTO
EN ESPERA,EN ESPERA,STANDBY,대기 중,EM ESPERA
ENCENDER,ENCENDER,TURN ON,켜기,LIGAR
ENCENDIDA,ENCENDIDA,ON,켜짐,LIGADA
ENERGÍA: --,ENERGÍA: --,POWER: --,전력: --,ENERGIA: --
ENTER  —  OMITIR PRÓLOGO,ENTER  —  OMITIR PRÓLOGO,ENTER  —  SKIP PROLOGUE,ENTER  —  프롤로그 건너뛰기,ENTER  —  PULAR PRÓLOGO
ERROR: ,ERROR: ,ERROR:,오류: ,ERRO: 
ESCANEAR,ESCANEAR,SCAN,스캔,ESCANEAR
ESTADO COOLANT,ESTADO COOLANT,COOLANT STATUS,냉각제 상태,ESTADO DO COOLANT
ESTADO COOLANT | OESTE: %s | ESTE: %s,ESTADO COOLANT | OESTE: %s | ESTE: %s,COOLANT STATUS | WEST: %s | EAST: %s,냉각제 상태 | 서쪽: %s | 동쪽: %s,ESTADO DO COOLANT | OESTE: %s | LESTE: %s
"ESTE
SALIDA","ESTE
SALIDA","EAST
EXIT","동쪽
출구","LESTE
SAÍDA"
"En %s apareció una solicitud. Si muestra este mismo PIN, pulse Permitir.","En %s apareció una solicitud. Si muestra este mismo PIN, pulse Permitir.","A request appeared on %s. If it shows this same PIN, press Allow.",%s에 요청이 표시되었습니다. 같은 PIN이 보이면 허용을 누르십시오.,"Uma solicitação apareceu em %s. Se mostrar este mesmo PIN, toque em Permitir."
Enfocar cámara del piloto,Enfocar cámara del piloto,Focus pilot camera,파일럿 카메라 초점,Focar a câmera do piloto
Enviar reportes de error,Enviar reportes de error,Send error reports,오류 보고서 보내기,Enviar relatórios de erro
Envía métricas técnicas de rendimiento y uso para ayudar a mejorar el juego.,Envía métricas técnicas de rendimiento y uso para ayudar a mejorar el juego.,Sends technical performance and usage metrics to help improve the game.,게임 개선을 위해 성능과 사용에 관한 기술 정보를 보냅니다.,Envia métricas técnicas de desempenho e uso para ajudar a melhorar o jogo.
Error de actualización: %s,Error de actualización: %s,Update error: %s,업데이트 오류: %s,Erro de atualização: %s
Escala de render,Escala de render,Render scale,렌더 배율,Escala de renderização
Escena: %s | Disparador: %s | FPS mín: %.1f | FPS med: %.1f,Escena: %s | Disparador: %s | FPS mín: %.1f | FPS med: %.1f,Scene: %s | Trigger: %s | Min FPS: %.1f | Avg FPS: %.1f,장면: %s | 트리거: %s | 최소 FPS: %.1f | 평균 FPS: %.1f,Cena: %s | Gatilho: %s | FPS mín: %.1f | FPS méd: %.1f
FPS: ,FPS: ,FPS:,FPS: ,FPS: 
FPS:000,FPS:000,FPS:000,FPS:000,FPS:000
Forzar modo low end,Forzar modo low end,Force low-end mode,저사양 모드 강제,Forçar modo low end
Frame %d/%d — T: %.1fs / %.1fs,Frame %d/%d — T: %.1fs / %.1fs,Frame %d/%d — T: %.1fs / %.1fs,프레임 %d/%d — T: %.1fs / %.1fs,Quadro %d/%d — T: %.1fs / %.1fs
Frame: 0/0,Frame: 0/0,Frame: 0/0,프레임: 0/0,Quadro: 0/0
GLOO ACTIVO: %d / %d,GLOO ACTIVO: %d / %d,ACTIVE GLOO: %d / %d,GLOO 활성: %d / %d,GLOO ATIVO: %d / %d
GLOO: %d/%d,GLOO: %d/%d,GLOO: %d/%d,GLOO: %d/%d,GLOO: %d/%d
GLOO: 0/6,GLOO: 0/6,GLOO: 0/6,GLOO: 0/6,GLOO: 0/6
GRASS,GRASS,GRASS,풀,GRAMA
Global Position: ,Global Position: ,Global Position:,전역 좌표: ,Posição global: 
Global Position: N/A,Global Position: N/A,Global Position: N/A,전역 좌표: N/A,Posição global: N/A
Glow postprocessing,Glow postprocessing,Glow post-processing,글로우 후처리,Pós-processamento de glow
HOTZONE PLAYER,HOTZONE PLAYER,HOTZONE PLAYER,핫존 플레이어,HOTZONE PLAYER
Hay %d partidas en su red. Elija cuál quiere controlar:,Hay %d partidas en su red. Elija cuál quiere controlar:,There are %d games on your network. Choose which one to control:,네트워크에 게임이 %d개 있습니다. 제어할 게임을 선택하십시오:,Há %d partidas na sua rede. Escolha qual quer controlar:
HoloTerminal,HoloTerminal,HoloTerminal,홀로터미널,HoloTerminal
Idioma,Idioma,Language,언어,Idioma
Information,Information,Information,정보,Informação
Interactuar,Interactuar,Interact,상호작용,Interagir
Invertir X,Invertir X,Invert X,X축 반전,Inverter X
Invertir Y,Invertir Y,Invert Y,Y축 반전,Inverter Y
Invierte los ejes analógicos horizontales (movimiento y cámara). Activalo si en tu dispositivo el stick va al revés.,Invierte los ejes analógicos horizontales (movimiento y cámara). Activalo si en tu dispositivo el stick va al revés.,Inverts the horizontal analog axes (movement and camera). Turn it on if the stick is reversed on your device.,아날로그 좌우 축(이동과 카메라)을 반전합니다. 기기에서 스틱이 반대로 움직이면 켜십시오.,Inverte os eixos analógicos horizontais (movimento e câmera). Ative se no seu aparelho o direcional estiver ao contrário.
Invierte los ejes analógicos verticales (movimiento y cámara). Activalo si en tu dispositivo el stick va al revés.,Invierte los ejes analógicos verticales (movimiento y cámara). Activalo si en tu dispositivo el stick va al revés.,Inverts the vertical analog axes (movement and camera). Turn it on if the stick is reversed on your device.,아날로그 상하 축(이동과 카메라)을 반전합니다. 기기에서 스틱이 반대로 움직이면 켜십시오.,Inverte os eixos analógicos verticais (movimento e câmera). Ative se no seu aparelho o direcional estiver ao contrário.
LA PARTIDA TERMINÓ,LA PARTIDA TERMINÓ,GAME OVER,게임 오버,FIM DE JOGO
LASER: LISTO,LASER: LISTO,LASER: READY,레이저: 준비,LASER: PRONTO
LISTO,LISTO,READY,준비,PRONTO
LOG,LOG,LOG,로그,LOG
LOG  %s  lineas=%d,LOG  %s  lineas=%d,LOG  %s  lines=%d,로그  %s  줄=%d,LOG  %s  linhas=%d
Linterna,Linterna,Flashlight,손전등,Lanterna
Los objetos que tapan al personaje se vuelven translúcidos. Se aplica al recargar la escena.,Los objetos que tapan al personaje se vuelven translúcidos. Se aplica al recargar la escena.,Objects obscuring the character become translucent. Applied on scene reload.,캐릭터를 가리는 물체가 반투명해집니다. 장면을 다시 불러올 때 적용됩니다.,Os objetos que cobrem o personagem ficam translúcidos. Aplica-se ao recarregar a cena.
MANUAL,MANUAL,MANUAL,수동,MANUAL
MENÚ PRINCIPAL,MENÚ PRINCIPAL,MAIN MENU,메인 메뉴,MENU PRINCIPAL
METAL (Default),METAL (Default),METAL (Default),금속 (기본),METAL (Padrão)
MODE: GLOO,MODE: GLOO,MODE: GLOO,모드: GLOO,MODO: GLOO
MODE: LASER,MODE: LASER,MODE: LASER,모드: 레이저,MODO: LASER
MODO: %s,MODO: %s,MODE: %s,모드: %s,MODO: %s
MODO: LASER,MODO: LASER,MODE: LASER,모드: 레이저,MODO: LASER
MODO: OFFLINE,MODO: OFFLINE,MODE: OFFLINE,모드: 오프라인,MODO: OFFLINE
MULTI-TOOL,MULTI-TOOL,MULTI-TOOL,멀티툴,MULTI-TOOL
"Manda al servidor las líneas de error del log al cerrar la sesión, para poder diagnosticar fallas que solo pasan en su dispositivo.","Manda al servidor las líneas de error del log al cerrar la sesión, para poder diagnosticar fallas que solo pasan en su dispositivo.",Sends log error lines to the server upon closing the session to diagnose issues specific to your device.,세션을 닫을 때 로그의 오류 줄을 서버로 보냅니다. 사용자의 기기에서만 생기는 문제를 진단하는 데 씁니다.,"Envia ao servidor as linhas de erro do log ao encerrar a sessão, para diagnosticar falhas que só acontecem no seu aparelho."
Mantén TAB para cambiar de pantalla,Mantén TAB para cambiar de pantalla,Hold TAB to switch screen,TAB을 누르고 있으면 화면이 바뀝니다,Segure TAB para trocar de tela
Modo Pantalla,Modo Pantalla,Screen Mode,화면 모드,Modo de Tela
Mostrar pantalla,Mostrar pantalla,Show screen,화면 표시,Mostrar tela
"Muestra el final del log del motor sobre la pantalla, útil para depurar en dispositivos sin consola.","Muestra el final del log del motor sobre la pantalla, útil para depurar en dispositivos sin consola.","Displays the tail of the engine log on screen, useful for debugging on devices without a console.",엔진 로그의 마지막 부분을 화면에 표시합니다. 콘솔이 없는 기기에서 디버깅할 때 유용합니다.,"Mostra o final do log do motor sobre a tela, útil para depurar em aparelhos sem console."
Música,Música,Music,음악,Música
NO ENVIAR,NO ENVIAR,DO NOT SEND,보내지 않음,NÃO ENVIAR
NOMINAL,NOMINAL,NOMINAL,정상,NOMINAL
"NORTE
SALIDA","NORTE
SALIDA","NORTH
EXIT","북쪽
출구","NORTE
SAÍDA"
NUEVA PARTIDA,NUEVA PARTIDA,NEW GAME,새 게임,NOVO JOGO
No se pudo descargar (%s). Probá de nuevo.,No se pudo descargar (%s). Probá de nuevo.,Failed to download (%s). Try again.,내려받지 못했습니다 (%s). 다시 시도하십시오.,Não foi possível baixar (%s). Tente de novo.
"No se pudo emparejar: %s.
Pulse Buscar de nuevo para reintentar.","No se pudo emparejar: %s.
Pulse Buscar de nuevo para reintentar.","Failed to pair: %s.
Press Search again to retry.","연결하지 못했습니다: %s.
다시 검색을 눌러 재시도하십시오.","Não foi possível parear: %s.
Toque em Procurar de novo para tentar outra vez."
No se pudo escuchar en el puerto %d. Cierre cualquier otra instancia de Odisea en este dispositivo y pulse Buscar de nuevo.,No se pudo escuchar en el puerto %d. Cierre cualquier otra instancia de Odisea en este dispositivo y pulse Buscar de nuevo.,Could not listen on port %d. Close any other instances of Odisea on this device and press Search again.,포트 %d에서 대기할 수 없습니다. 이 기기에서 실행 중인 다른 Odisea를 닫고 다시 검색을 누르십시오.,Não foi possível escutar na porta %d. Feche qualquer outra instância de Odisea neste aparelho e toque em Procurar de novo.
No suggestions,No suggestions,No suggestions,제안 없음,Sem sugestões
Node Invalid,Node Invalid,Node Invalid,노드 무효,Nó inválido
OD-02 RESPALDO,OD-02 RESPALDO,OD-02 BACKUP,OD-02 백업,OD-02 RESERVA
OD-OS v4.21 | SURVEILLANCE,OD-OS v4.21 | SURVEILLANCE,OD-OS v4.21 | SURVEILLANCE,OD-OS v4.21 | 감시,OD-OS v4.21 | VIGILÂNCIA
ODISEA,ODISEA,ODISEA,ODISEA,ODISEA
ODISEA OS,ODISEA OS,ODISEA OS,ODISEA OS,ODISEA OS
ODISEAOS,ODISEAOS,ODISEAOS,ODISEAOS,ODISEAOS
"OESTE
CRIO","OESTE
CRIO","WEST
CRYO","서쪽
냉동","OESTE
CRIO"
OFF,OFF,OFF,OFF,OFF
OFFLINE,OFFLINE,OFFLINE,오프라인,OFFLINE
OK,OK,OK,확인,OK
OPCIONES,OPCIONES,OPTIONS,설정,OPÇÕES
OPERATIVO,OPERATIVO,OPERATIONAL,정상 작동,OPERACIONAL
OXYGEN: ,OXYGEN: ,OXYGEN:,산소: ,OXIGÊNIO: 
OYSTrigger Example,OYSTrigger Example,OYSTrigger Example,OYSTrigger Example,OYSTrigger Example
Ocultar registro,Ocultar registro,Hide log,로그 숨기기,Ocultar registro
Odisea,Odisea,Odisea,Odisea,Odisea
"OdiseaOS Workbench
Godot 3.6 Retro UI

Virtual terminals and runtime tools for Core_v2.","OdiseaOS Workbench
Godot 3.6 Retro UI

Virtual terminals and runtime tools for Core_v2.","OdiseaOS Workbench
Godot 3.6 Retro UI

Virtual terminals and runtime tools for Core_v2.","OdiseaOS Workbench
Godot 3.6 레트로 UI

Core_v2용 가상 단말기와 런타임 도구.","OdiseaOS Workbench
Godot 3.6 Retro UI

Terminais virtuais e ferramentas de runtime para o Core_v2."
Overlay de log en pantalla,Overlay de log en pantalla,On-screen log overlay,화면 로그 오버레이,Sobreposição de log na tela
PARTIDA EN PAUSA,PARTIDA EN PAUSA,GAME PAUSED,게임 일시 정지,JOGO PAUSADO
PAUSA,PAUSA,PAUSE,일시 정지,PAUSA
PAUSE,PAUSE,PAUSE,일시 정지,PAUSA
PIN DE EMPAREJAMIENTO: ------,PIN DE EMPAREJAMIENTO: ------,PAIRING PIN: ------,페어링 PIN: ------,PIN DE PAREAMENTO: ------
PIN: %s,PIN: %s,PIN: %s,PIN: %s,PIN: %s
PIN: ------,PIN: ------,PIN: ------,PIN: ------,PIN: ------
PLASMA: --,PLASMA: --,PLASMA: --,플라즈마: --,PLASMA: --
PRESION SECTOR 04,PRESION SECTOR 04,PRESSURE SECTOR 04,04 구역 압력,PRESSÃO SETOR 04
PRESSURE: ,PRESSURE: ,PRESSURE:,압력: ,PRESSÃO: 
PRESURIZANDO,PRESURIZANDO,PRESSURIZING,가압 중,PRESSURIZANDO
PROTOCOL TITLE,PROTOCOL TITLE,PROTOCOL TITLE,프로토콜 제목,TÍTULO DO PROTOCOLO
PROTOCOLO DE ABORDAJE,PROTOCOLO DE ABORDAJE,BOARDING PROTOCOL,승선 프로토콜,PROTOCOLO DE ABORDAGEM
Pausado,Pausado,Paused,일시 정지됨,Pausado
Permitir,Permitir,Allow,허용,Permitir
Pod_01  VACÍA  NOMINAL,Pod_01  VACÍA  NOMINAL,Pod_01  EMPTY  NOMINAL,Pod_01  비어 있음  정상,Pod_01  VAZIA  NOMINAL
Preparando el primer nivel…,Preparando el primer nivel…,Preparing first level…,첫 레벨을 준비하는 중…,Preparando o primeiro nível…
Presiona %s o ESC para cerrar,Presiona %s o ESC para cerrar,Press %s or ESC to close,%s 또는 ESC를 누르면 닫힙니다,Pressione %s ou ESC para fechar
Presiona E o ESC para cerrar,Presiona E o ESC para cerrar,Press E or ESC to close,E 또는 ESC를 누르면 닫힙니다,Pressione E ou ESC para fechar
Prop Name,Prop Name,Prop Name,소품 이름,Nome do objeto
Protocol body text goes here. This can be multiple lines.,Protocol body text goes here. This can be multiple lines.,Protocol body text goes here. This can be multiple lines.,프로토콜 본문이 여기에 들어갑니다. 여러 줄이 될 수 있습니다.,O corpo do protocolo vai aqui. Pode ter várias linhas.
Puedes cambiar esta decisión cuando quieras desde Opciones.,Puedes cambiar esta decisión cuando quieras desde Opciones.,You can change this decision anytime in Options.,이 선택은 설정에서 언제든지 바꿀 수 있습니다.,Você pode mudar essa decisão quando quiser em Opções.
Pulsar botón,Pulsar botón,Press button,버튼 누르기,Apertar botão
RADIAL LLENO,RADIAL LLENO,RADIAL FULL,라디얼 가득 참,RADIAL CHEIO
REACTOR: ,REACTOR: ,REACTOR:,원자로: ,REATOR: 
READY,READY,READY,준비,PRONTO
READY  FONT:%d,READY  FONT:%d,READY  FONT:%d,준비  FONT:%d,PRONTO  FONT:%d
REANUDAR,REANUDAR,RESUME,재개,RETOMAR
RECARGANDO EMP,RECARGANDO EMP,RELOADING EMP,EMP 재장전 중,RECARREGANDO EMP
REGISTRO COMPLETADO — Pausado,REGISTRO COMPLETADO — Pausado,RECORDING COMPLETE — Paused,녹화 완료 — 일시 정지됨,GRAVAÇÃO CONCLUÍDA — Pausado
REINICIAR NIVEL,REINICIAR NIVEL,RESTART LEVEL,레벨 다시 시작,REINICIAR NÍVEL
RESTART,RESTART,RESTART,다시 시작,REINICIAR
RESUME,RESUME,RESUME,재개,RETOMAR
RETORNANDO,RETORNANDO,RETURNING,복귀 중,RETORNANDO
ROL ►,ROL ►,ROLL ►,롤 ►,ROLL ►
Rechazar,Rechazar,Deny,거부,Recusar
Reduce la resolución interna para mejorar el rendimiento.,Reduce la resolución interna para mejorar el rendimiento.,Reduces internal resolution to improve performance.,내부 해상도를 낮춰 성능을 높입니다.,Reduz a resolução interna para melhorar o desempenho.
Refresh,Refresh,Refresh,새로 고침,Atualizar
Render conservador para dispositivos débiles: sin post-process del environment y con lightmap manual. Se aplica al recargar la escena.,Render conservador para dispositivos débiles: sin post-process del environment y con lightmap manual. Se aplica al recargar la escena.,Conservative rendering for low-end devices: disables environment post-processing and uses manual lightmap. Applied on scene reload.,저사양 기기를 위한 보수적 렌더링: 환경 후처리를 끄고 수동 라이트맵을 씁니다. 장면을 다시 불러올 때 적용됩니다.,Renderização conservadora para aparelhos fracos: sem pós-processamento do environment e com lightmap manual. Aplica-se ao recarregar a cena.
Reproduciendo...,Reproduciendo...,Playing...,재생 중...,Reproduzindo...
Resolución interna,Resolución interna,Internal resolution,내부 해상도,Resolução interna
Retomando la sesión anterior...,Retomando la sesión anterior...,Resuming previous session...,이전 세션을 이어가는 중...,Retomando a sessão anterior...
SALIDA,SALIDA,EXIT,출구,SAÍDA
SALIR,SALIR,QUIT,종료,SAIR
SALTAR,SALTAR,SKIP,건너뛰기,PULAR
SELECCIONE NIVEL,SELECCIONE NIVEL,SELECT LEVEL,레벨 선택,SELECIONE O NÍVEL
SEÑUELO ACTIVO,SEÑUELO ACTIVO,DECOY ACTIVE,미끼 작동 중,ISCA ATIVA
SFX,SFX,SFX,효과음,SFX
SIN CONEXIÓN · %d s,SIN CONEXIÓN · %d s,OFFLINE · %d s,연결 없음 · %d초,SEM CONEXÃO · %d s
SIN PANTALLAS,SIN PANTALLAS,NO SCREENS,화면 없음,SEM TELAS
SISTEMA DE TRÁNSITO,SISTEMA DE TRÁNSITO,TRANSIT SYSTEM,운송 시스템,SISTEMA DE TRÂNSITO
SISTEMA ESTABILIZADO,SISTEMA ESTABILIZADO,SYSTEM STABILIZED,시스템 안정화됨,SISTEMA ESTABILIZADO
STONE,STONE,STONE,돌,PEDRA
"SUR
SALIDA","SUR
SALIDA","SOUTH
EXIT","남쪽
출구","SUL
SAÍDA"
SURVEILLANCE,SURVEILLANCE,SURVEILLANCE,감시,VIGILÂNCIA
SURVEILLANCE | BROWSE,SURVEILLANCE | BROWSE,SURVEILLANCE | BROWSE,감시 | 탐색,VIGILÂNCIA | NAVEGAR
SURVEILLANCE | LIVE,SURVEILLANCE | LIVE,SURVEILLANCE | LIVE,감시 | 실시간,VIGILÂNCIA | AO VIVO
SYSTEM,SYSTEM,SYSTEM,시스템,SISTEMA
SYSTEM ERROR,SYSTEM ERROR,SYSTEM ERROR,시스템 오류,ERRO DE SISTEMA
Salir,Salir,Quit,종료,Sair
Scene: Unknown | Trigger: auto | Min FPS: 0.0 | Avg FPS: 0.0,Scene: Unknown | Trigger: auto | Min FPS: 0.0 | Avg FPS: 0.0,Scene: Unknown | Trigger: auto | Min FPS: 0.0 | Avg FPS: 0.0,장면: Unknown | 트리거: auto | 최소 FPS: 0.0 | 평균 FPS: 0.0,Cena: Unknown | Gatilho: auto | FPS mín: 0.0 | FPS méd: 0.0
Se rechaza sola en %d s.,Se rechaza sola en %d s.,Auto-rejects in %d s.,%d초 후 자동으로 거부됩니다.,Recusa sozinha em %d s.
Se rechaza sola en 30 s.,Se rechaza sola en 30 s.,Auto-rejects in 30 s.,30초 후 자동으로 거부됩니다.,Recusa sozinha em 30 s.
Seleccionar nivel,Seleccionar nivel,Select level,레벨 선택,Selecionar nível
Sintonizar,Sintonizar,Tune,주파수 맞추기,Sintonizar
Slope Test (15°),Slope Test (15°),Slope Test (15°),경사 테스트 (15°),Teste de rampa (15°)
Solicitar Cápsula,Solicitar Cápsula,Request Pod,캡슐 호출,Solicitar Cápsula
